Date,Open,High,Low,Close,Adj Close,Volume
9/2/2016,37390,39000,37235,38852.60156,38715.60938,21168
9/6/2016,39000,39732.5,38903,39535.80078,39396.40234,14428
9/7/2016,39889.89844,40337,39550,39893.60156,39752.94141,16406
9/8/2016,39880,40380,39627.10156,40035.80078,39894.64063,9369
9/9/2016,40000,40549.89844,39826.80078,40201.5,40059.76172,13878
9/12/2016,39950,39950,38695.80078,39100.19922,38962.33984,16133
9/14/2016,39110,41000,39100,40722.89844,40579.32031,17913
9/15/2016,40825,41874.69922,40825,41124,40979.00391,18371
9/16/2016,41350,41719.89844,40200,40507.80078,40364.96875,18045
9/19/2016,40555,43270,40520.10156,43101.60156,42949.63281,35959
9/20/2016,43350,43921,42900,43620.5,43466.69531,33084
9/21/2016,43450,44300,43406.89844,43806.60156,43652.14063,21206
9/22/2016,44449,44499,43835.5,44375.89844,44219.44141,15927
9/23/2016,44800,46471.80078,44114,45841.30078,45679.66797,38540
9/26/2016,45799.89844,46349,45458,45715.39844,45554.21484,18111
9/27/2016,45759,46917.89844,45759,46562.39844,46398.23438,16890
9/28/2016,46899.80078,50190,46710,49753.39844,49577.97656,64713
9/29/2016,50300,51515.39844,47860.30078,48605.60156,48434.22266,76122
9/30/2016,48750,51150,48750,50872.60156,50693.23438,33197
10/3/2016,51810,52444,51251.39844,51894.89844,51711.92578,25479
10/4/2016,52200,52499,50906.10156,51226.89844,51046.28125,19591
10/5/2016,51677,53899,51200,53693.80078,53504.48828,42292
10/6/2016,54000,54650,53305.69922,53892.80078,53702.78516,34564
10/7/2016,54530,54530,53065,53471.89844,53283.36328,18743
10/10/2016,53550,54087.10156,52710.10156,53034,52847.01953,12551
10/13/2016,53089.89844,53740,52600.19922,53371.30078,53183.11719,24543
10/14/2016,53310,53550,52201,52449,52264.07031,14336
10/17/2016,52549.80078,52600,49749.10156,49873.10156,49697.25391,19866
10/18/2016,50290,51777,48751,51627.60156,51445.56641,39429
10/19/2016,51625,51777,50380,50518.39844,50340.27344,23916
10/20/2016,50650,51502.10156,49530,49770.10156,49594.61719,22521
10/21/2016,50187.89844,51100,49728.60156,50438.19922,50260.35938,22623
10/24/2016,50603,50929,49801,49949.89844,49773.78516,8325
10/25/2016,50059,50300,49710,50100.10156,49923.46094,9424
10/26/2016,50080,50771,49236.89844,49638.60156,49463.58203,15490
10/27/2016,49800,50094.5,46199.89844,46403.60156,46239.98438,37965
10/28/2016,46402,48190,46402,47955.60156,47786.51953,24430
11/1/2016,48288,50443,48001.10156,50095.39844,49918.77734,30014
11/2/2016,49500,50239.60156,48857.10156,49569.10156,49394.32813,22450
11/3/2016,49300,50777,49132.89844,50264.30078,50087.07422,19387
11/4/2016,50449,50899,49551,50179.69922,50002.77734,22877
11/7/2016,50800,51000,50350,50851.89844,50672.59375,11676
11/8/2016,51000,52400,50359.5,52046.69922,51866.25391,18329
11/9/2016,48200,52824,47000,52166.60156,51985.73047,27056
11/10/2016,52600,53940,52600,53515.39844,53329.85547,13832
11/11/2016,53149.10156,53357.89844,52010.39844,52576.89844,52394.60938,15517
11/15/2016,52540,53050,49768.19922,50108.30078,49934.57031,24843
11/16/2016,51004.89844,51700,50360,50548.39844,50373.14844,13312
11/17/2016,50712,51250,49501.19922,49876.89844,49703.97656,11124
11/18/2016,49800,50078.5,48889.80078,49080.5,48910.33594,14112
11/21/2016,49109,49500,46501,46672.39844,46510.57031,13855
11/22/2016,46860,47467.80078,46451,46947.19922,46784.43359,16524
11/23/2016,47490,48189.60156,46560,47513.80078,47349.06641,14321
11/24/2016,47474,47877,46832.10156,47214.80078,47051.10547,9048
11/25/2016,47544,47775.19922,47112,47270.5,47106.60938,7607
11/28/2016,47399,48460,47250,47574.10156,47409.16406,8314
11/29/2016,47720,49498,47720,49118.89844,48948.59766,13814
11/30/2016,50000,50595.19922,49500,49900.10156,49727.09766,35735
12/1/2016,50799.89844,50799.89844,48684.5,48883.30078,48713.81641,15416
12/2/2016,48790,49340,48280,48841.60156,48672.26953,11376
12/5/2016,48401.10156,50722.30078,48401.10156,50469.30078,50294.32422,16302
12/6/2016,50639,51074.60156,49861.10156,50304.69922,50130.29297,13166
12/7/2016,50399,50705.30078,49810,50147.80078,49973.9375,8158
12/8/2016,50401,51669,50401,51416.60156,51238.33203,10465
12/9/2016,51656,53448,51286.39844,53033.5,52849.63672,17815
12/12/2016,52701,52996.80078,52001,52235,52053.91406,8233
12/13/2016,52549,53350,52320,52424.19922,52242.44141,11944
12/14/2016,52216,52999,52216,52759.69922,52576.78516,7681
12/15/2016,53000,53270,52400,52613.39844,52430.98438,14182
